active,area,configid,lat,long,meter number,sub area,zone
1,Route 08,982,39.9611,-82.993935,SQ110,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,4266,39.96181,-82.99266,EL326,OAK ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA51,VINE ST W,"Columbus, OH Default Zone"
1,Route 08,982,39.96116,-82.99207,EK404,STATE ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.96149,-82.99416,SQ75,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96197,-82.99253,SS59,SIXTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96094,-82.9927,EK273,STATE ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.960773,-82.99542,EK208,STATE ST E,"Columbus, OH Default Zone"
1,Route 08,4266,39.9618,-82.99274,EL324,OAK ST E,"Columbus, OH Default Zone"
1,Route 08,979,39.960262,-82.99858,EK27,STATE ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.96204,-82.99411,SQ52,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.9614,-82.995575,EL203,OAK ST E,"Columbus, OH Default Zone"
1,Route 07,980,39.97254,-83.00788,WBB305,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.972412,-83.00492,WBB105,SPRUCE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.972797,-83.004074,WCC53,SWAN ST W,"Columbus, OH Default Zone"
1,Route 08,4266,39.96173,-82.993324,EL310,OAK ST E,"Columbus, OH Default Zone"
1,Route 07,979,39.961178,-82.998795,WAA7,VINE ST W,"Columbus, OH Default Zone"
1,Route 07,979,39.97182,-83.003235,WDD3,WALL ST N,"Columbus, OH Default Zone"
1,Route 08,982,39.96107,-82.99408,SQ105,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96191,-82.994095,SQ56,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96198,-82.99425,SQ53,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 07,979,39.97207,-83.00328,WDD13,WALL ST N,"Columbus, OH Default Zone"
1,Route 08,4266,39.96177,-82.993065,EL316,OAK ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.961594,-82.992455,SS101,SIXTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96136,-82.99241,SS109,SIXTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96128,-82.993965,SQ104,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96116,-82.99394,SQ108,FIFTH ST S,"Columbus, OH Default Zone"
1,Route 08,982,39.96141,-82.99551,EL205,OAK ST E,"Columbus, OH Default Zone"
1,Route 08,982,39.959553,-82.994286,EI244,TOWN ST E,"Columbus, OH Default Zone"
